,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Graphic Processor,Number of Cores,Storage Type,Operating System,Mic In,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Pointer Device,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Battery Cell,Clock Speed,HDMI Port,Processor Generation,Expandable Memory,RAM Frequency,Cache,OS Architecture,Supported Operating System,System Architecture,RJ45,Multi Card Slot,Refresh Rate,Ethernet,Wireless WAN,Finger Print Sensor,Laptop Bag,Inbuilt 4G LTE,Memory Slots,Expandable SSD Capacity,NFC Support,Face Recognition,Lock Port,TGP,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Hardware Interface,Security Chip,Chipset,Antivirus,RPM,Sound Chip,Brightness,EMMC Storage Capacity,International Warranty,Stylus Included,S-video,Dock Port,Firewire Port,RJ11,VGA Port,Read/Write Speed,Other Accessories,Color Gamut,Recovery Options,Certification,HDD Capacity,Optane Memory,Cloud Storage,UFS Storage Capacity,id,rating,price
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",A325-42,UN.34QSI.003,A325-42,Aspire 3 Backlit,Silver,Thin and Light Laptop,Everyday Use,,,No,AMD,Ryzen 7 Octa Core,Yes,512 GB,16 GB,DDR4,7730U,AMD Radeon AMD,,SSD,Windows 11 Home,,"3 x USB ports, 2 x Type-C port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD,Two built-in front facing stereo speakers,Yes,,Wifi 6,v5.1,360.8 x 253.33 x 19.3 mm,1.79 Kg,Not Available,Full HD camera,99-/100-/103-key Acer keyboard layout with international language support including indicators of CapsLock and F4/Microphone mute,,,,,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,Up to 4.5 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,4,"₹43,590"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",A325-42,UN.34QSI.004,A325-42,Aspire 3 Backlit,Silver,Thin and Light Laptop,Everyday Use,,,No,AMD,Ryzen 7 Octa Core,Yes,1 TB,16 GB,DDR4,7730U,AMD Radeon AMD,,SSD,Windows 11 Home,,"3 x USB ports, 2 x Type-C port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD,Two built-in front facing stereo speakers,Yes,,Wifi 6,v5.1,360.8 x 253.33 x 19.3 mm,1.79 Kg,Not Available,Full HD camera,99-/100-/103-key Acer keyboard layout with international language support including indicators of CapsLock and F4/Microphone mute,,,,,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,Up to 4.5 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0,4,"₹41,290"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",V14 ITL G2,82KA00LLIH,V14,V14,Iron Grey,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Upto 4 hours,65W round tip (3-pin) AC adapter,No,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1235U,Intel Integrated Iris Xe,,SSD,Windows 11 Home,,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",No,35.56 cm (14 inch),1920 x 1080 Pixel,Full HD IPS LED Anti-glare Display,Yes,,,802.11ac 2x2 Wi-Fi,v5.0,324.2 x 215.2 x 19.9 mm,1.6 kg,Not Available,1M HD Camera,English Keyboard,,,N/A,,1 Year Carry In To SERVICE CENTER WARRANTY,1 Year Carry In To SERVICE CENTER WARRANTY,Manufacturing Defects,Physical Damage,1 Year,2 Cell,1.3Ghz UPTO 4.2 GHz,1 x HDMI 1.4,12th Gen,,,12MB,64 bit,Windows 11 Home,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0,4.2,"₹35,900"
0,"Laptop, Power adapter",Modern 14 C13M-435IN,9S7-14J112-435,Modern 14 C13M-435IN,Modern 14,Classic Black,Thin and Light Laptop,"Processing & Multitasking, Entertainment",,65W adapter,No,Intel,Core i7,Yes,512 GB,16 GB,DDR4,1355U,Intel Integrated Iris Xe,,SSD,Windows 11 Home,,"1 x Type-C (USB3.2 Gen2 / DP) with PD charging, 1 x Type-A USB3.2 Gen2, 2 x Type-A USB2.0",No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD, 60Hz 45%NTSC IPS-Level",Built-in Speakers,Yes,,Intel Wi-Fi 6 AX201(2*2 ax),v5.2,319.9 x 223 x 19.35 mm,1.4 Kg,Not Available,HD type (30fps@728p),Single backlight Keyboard(White),Yes,,,,1 Year Carry-in Warranty,Carry-in,Part Failure,"Physical Damage, Burn, Liquid Spill",1 Year,3 cell,Base frequency 1.2 GHz upto Max Turbo Frequency 5 GHz,1 x HDMI,13th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,4,"₹57,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",16-wf0179TX,9Q9M6PA,16-wf0179TX,Omen,Shadow Black,Gaming Laptop,Gaming,,,No,Intel,Core i7,Yes,512 GB,16 GB,DDR5,13700HX,NVIDIA GeForce RTX 3050,16,SSD,Windows 11 Home,Yes,"1 x USB Type-A 5Gbps signaling rate, 1 x USB Type-A 5Gbps signaling rate, 2 x Thunderbolt 4 with USB Type-C 40Gbps signaling rate",No,40.89 cm (16.1 Inch),1920 x 1080 Pixel,"FHD, 165 Hz, 7 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 300 nits, 100% sRGB",Built-in dual speakers,Built-in Dual array microphone,,Wi-Fi 6E AX211 (2x2),v5.3,369 x 259.4 x 23.5mm,2.35 kg,Not Available,HP True Vision 1080p FHD camera with temporal noise reduction,"Full-size, 4-zone RGB backlit, shadow black keyboard and 26-Key Rollover Anti-Ghosting Key technology",Yes,HP Imagepad,,70 Wh Li-ion polymer,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,4 Cell,Upto 5.0 GHz,1 HDMI 2.1,13th Gen,,4800 MHz,30 MB,,Windows 11 Home,,,,,,,,,,,,,,,,GDDR6,6 GB,,,Intel HM770,,,,,,,,,,,,,,,,,,,,,,240.0,4.2,"₹1,17,459"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-fc0154AU,9D3M8PA,15-fc0154AU,15 (2024),Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,DDR4,7320U,AMD Radeon AMD,,SSD,Windows 11 Home,,"1 x USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, 250 nits, 45% NTSC",Yes,Yes,,Realtek Wi-Fi 6 (1x1),v5.3,359.8 x 236 x 18.6 mm,1.59 Kg,Not Available,HP True Vision 1080p FHD camera,"Full-size, soft grey keyboard with numeric keypad",,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,Max Turbo Frequency 4.1 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,4.2,"₹33,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15AMN8,82XQ008DIN,Slim 3,IdeaPad Slim 3,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,,65W Round Tip (3 Pin),Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,7320U,AMD Radeon 610M,4,SSD,Windows 11 Home,Yes,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer, Power Delivery and DisplayPort 1.2)",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, Twisted Nematic Panel, 250nits, Anti-glare",1.5W Dual Front Facing Stereo Speakers,Dual Array Microphone,Dolby Audio,"Wi-Fi 6, 11ax 2x2",v5.1,359.3 x 235 x 17.9 mm,1.62 kg,Not Available,HD 720p with Privacy Shutter,"Non-backlit, English",No,,Microsoft Office Home & Student 2021,Integrated 47Wh,1 Yr. Onsite + 1 Yr. Accidental Damage Protection,Carry-In,Manufacturing Damage,Physical Damage,1 Year,,"Base Frequency 2.4 GHz, Max Turbo Boost at 4.1 GHz",1 x HDMI 1.4,,,,4 MB,,Windows 11,,,1 x SD Card Reader,,,,,,,,,,,,,,,M.2 2242 PCIe 4.0 x 4 NVMe,Firmware TPM 2.0 Enabled,AMD SoC Platform,,5500,High Definition (HD) Audio,,,,,,,,,,,,,,,,,,,242.0,4.1,"₹32,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504ZA-NJ325WS,90NB1021-M00UY0,15,Vivobook,Quiet Blue,Thin and Light Laptop,Processing & Multitasking,,45W AC Adapter,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1215U,Intel Integrated UHD,6,SSD,Windows 11 Home,Yes,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, 16:9 Aspect Ratio, LED Backlit, 60Hz Refresh Rate, Brightness: 250nits, 45% NTSC Color Gamut, Anti-glare Display, TUV Rheinland Certified, Screen-to-Body Ratio: 84%",Built-in Speaker,Built-in Array Microphone,SonicMaster,Wi-Fi 6E (802.11ax) (Dual Band) 1 x 1,v5.3,359.7 x 232.5 x 17.9 mm,1.70 kg,Not Available,720p HD Camera With Privacy Shutter,Backlit Chiclet Keyboard,Yes,Multigesture Touchpad,Microsoft Office Home & Student 2021,"Cortana Voice Recognition Support, 42WHrs, 3S1P",1 Year Onsite Warranty,Onsite,Manufacturing Damage,Physical Damage,1 Year,3 Cell,"Base Frequency 1.2 GHz, Max Turbo Boost at 4.4 GHz",1 x HDMI 1.4,12th Gen,Upto 24 GB,3200 MHz,10 MB,,Windows 11,64 Bit,,,60 Hz,,Wi-Fi 6E(802.11ax) (Dual band) 2*2,No,No,,2,,,,,,,,M.2 NVMe PCIe 3.0,"BIOS Booting User Password Protection, BIOS Setup User Password, Trusted Platform Module (Firmware TPM)",,McAfee LiveSafe 1 Year,,Sonic Master,,,,,,,,,,,,,,,,,,,243.0,4.2,"₹31,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s- eq2144au,50M63PA#ACJ,15s- eq2144au,,Natural Silver,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",,,Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,5500U,AMD Radeon AMD,6,SSD,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v4.2,358 x 242 x 17.9 mm,1.69 kg,Not Available,HP True Vision 720p HD camera,Full-size Island-style Natural Silver Keyboard with Numeric Keypad,No,,"Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart","41 Wh Li-ion Battery, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,3 cell,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,1x HDMI 1.4b,,,,8,64 bit,Windows 11 Home,,,1 x card reader,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,4.2,"₹37,999"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fy5002TU,6P132PA#ACJ,15s-fy5002TU,Backlit,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1235U,Intel Integrated Integrated,10,SSD,Windows 11 Home,Yes,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,358 x 242 x 17.9,1.69 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, backlit natural silver keyboard with numeric keypad",Yes,,,41 Wh Li-ion Battery,1 Year Onsite Warranty,"Contact : Ph : 18002587170, 18602583079, WhatsApp Helpline - +17864826615 / Mail : Self Service warranty lookup - support.hp.com/us-en/checkwarranty",Manufacturing Defects,Physical Damage,1 Year,3 Cell,3.30GHz Upto 4.40GHz,1 x HDMI 1.4b,12th Gen,16 GB,,12 MB,64 bit,Windows 11 Home,64 bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,4.2,"₹49,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504ZA-NJ341WS,90NB1021-M028J0,X1504ZA-NJ341WS,Vivobook 15,Quiet Blue,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i3,Yes,512 GB,16 GB,DDR4,1215U,Intel Integrated UHD,,SSD,Windows 11 Home,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",Yes,Yes,,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.3,359.7 x 232.5 x 17.9 mm,1.70 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard,,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,Max Turbo Frequency upto 4.4GHz,,12th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,4.3,"₹33,990"
0,"Laptop, Power Adapter, User Guide",250R G9,B10MTAT,250R G9,250R G9 (2024),Black,Thin and Light Laptop,"Everyday Use, Performance, Travel & Business",4 hours,HP Smart 65 W EM External AC power adapter,No,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Core i3 - 1315U (13th Gen),Intel Integrated Intel® UHD Graphics,6,SSD,Windows 11 Home,,"1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4); 2 USB Type-A 5Gbps signaling rate; 1 AC power; 1 HDMI 1.4b; 1 stereo headphone/microphone combo jack; 1 RJ-45",No,39.62 cm (15.6 inch),1366 x 768 pixel,"39.6 cm (15.6) diagonal, HD (1366 x 768), narrow bezel, anti-glare, 250 nits, 45% NTSC",Dual Stereo Speakers,,,Realtek Wi-Fi 6 RTL8852BE (2x2) and Bluetooth® 5.3 wireless card,5.3,358 x 242 x 9.2 MM,1.74 kg,Not Available,720p HD camera,"Full-size, textured, island-style keyboard",No,Touchpad with multi-touch gesture support,Windows 11,,1 Year Onsite Warranty,Visit HP Service Centre,MANUFACTURING DEFECT,"Physical Damges , Mother Board Issues",1 Year,"HP Long Life 3-cell, 41 Wh Li-ion",2.6 GHz,1 HDMI,13th Gen,,3200 MHz,10 MB,,Windows 11 Home,,Yes,,,,802.11 b/g/n/ax,No,No,No,2 SODIMM,NA,No,,,,DDR4,,512GB PCIe® NVMe™ SSD,,,,3200,,250 Nits,,,No,,,,,,NA,,45% NTSC,NA,NA,,,,,247.0,4.3,"₹31,690"
0,"Laptop, Power Adapter, User Guide",255 G9,7B1L8PA,Notebook,255 G9 Silver,Silver,Business Laptop,"Travel & Business, Processing & Multitasking, Performance, Everyday Use, Entertainment, Learning",4 hours,45 W USB Type-C power adapter,No,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,AMD Ryzen5-5625U,AMD Radeon AMD Radeon™ Graphics,4,SSD,Windows 11 Home,,2 Super Speed USB Type-A 5Gbps signaling rate; 1 SuperSpeed USB Type-C® 5Gbps signaling rate; 1 RJ-45; 1 headphone/microphone combo; 1 HDMI 1.4b; 1 AC power,No,39.62 cm (15.6 inch),1366x768$$Pixels pixel,HD,Stereo speakers,integrated digital microphone,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi® and Bluetooth® 5 combo,Bluetooth® 5 combo,324 x 225 x 17.9 mm,1.75 kg,Not Available,720p HD camera,"Full-size island-style, spill and pick resistant keyboard",No,Touchpad with multi-touch gesture support,Windows,,1 Year Onsite Warranty,Visit HP Service Centre,MANUFACTURING DEFECT,"Physical Damges , Mother Board Issues",1 Year,"HP Long Life 3-cell, 41 Wh Li-ion",2.6 GHz,,,,3200 MHz,16MB,32 bit,Windows 11 Home,64Bit,Yes,,,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi® and Bluetooth® 5 combo,No,No,No,2 SODIMM,,No,No,,,DDR4,,512GB PCIe® NVMe™ SSD,,,,3200,,250 Nits,,,No,No,,,,,NA,,NA,NA,,,,,,248.0,4.1,"₹29,990"
0,"Laptop, Adaptor, Manual",255,6X3B9PA,255 G8,,Black,Laptop,Everyday Use,5,,No,AMD,Athlon Dual Core,Yes,256 GB,8 GB,LPDDR4,,AMD Radeon AMD,,SSD,Windows 11 Home,,,No,39.62 cm (15.6 inch),1024 x 768 pixel,,,,,,Yes,,,Not Available,,,,,,,1 YEAR,ONSITE,"LAPTOP, ADAPTOR",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,4,"₹22,690"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-eq2305AU,9D3N8PA,15s-eq2305AU,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Up to 9 hours and 30 minutes,,Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR4,5500U,AMD Radeon AMD,,SSD,Windows 11 Home,,"1 x USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, 250 nits, 45% NTSC",Yes,Yes,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,358.5 x 242 x 17.9 mm,1.69 Kg,Not Available,HP True Vision 720p HD camera with integrated dual array digital microphones,"Full-size, backlit, natural silver keyboard with numeric keypad",,,,,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,,,Max Frequency Upt o 4.00 GHz,1 x HDMI 1.4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,4.3,"₹40,599"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",A715-79G,UN.34NSI.002,A715-79G,Aspire 7,Black,Gaming Laptop,Gaming,,,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,13420H,NVIDIA GeForce RTX 2050,,SSD,Windows 11 Home,,"1 x USB 3.2 Type-A port, 2 x USB 3.2 Type-C ports, 1 x USB 2.0 Type-A port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD,Two built-in stereo speakers,Yes,,Intel Wireless Wi-Fi 6 AX101,v5.2,359.5 x 238 x 22.7 mm,1.99 Kg,Not Available,1.0 M HD Video camera,Multi languages Multi-Color illuminated full size keyboard with numeric pad,,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,1.5 GHz upto Max Turbo Frequency 4.6 GHz,,13th Gen,,,,,,,,,,,,,,,,,,,,,GDDR6,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,251.0,4.3,"₹53,990"
0,"Laptop,Battery,Power Adapter, User Guide",Thin 15 B13UCX-1807IN,9S7-16R831-1807,Thin 15 B13UCX-1807IN,Thin 15,Cosmos Gray,Gaming Laptop,Gaming,,,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,13420H,NVIDIA GeForce RTX 2050,,SSD,Windows 11 Home,,"1 x Type-C (USB3.2 Gen1 / DP), 3 x Type-A USB3.2 Gen1",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 144Hz 45%NTSC IPS-Level",Yes,Yes,,802.11 ax Wi-Fi 6E,v5.3,359 x 254 x 21.7 mm,1.86 Kg,Not Available,HD type (30fps@720p),Blue Backlit Gaming Keyboard,,,,,2 Year Onsite Warranty,Onsite,Manufacturing Defects,"Physical Damage, Burn, Liquid Spill",,,1.5 GHz upto Max turbo frequency at 4.60 Ghz,1x HDMI (4K @ 30Hz),13th Gen,,,,,,,,,144 Hz,,,,,,,,,No,,,GDDR6,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,252.0,4.2,"₹56,499"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",16 wf1096TX,A0EH4PA#ACJ,16 wf1096TX,OMEN,Shadow Black,Gaming Laptop,Gaming,,83 W,Yes,Intel,Core i7,Yes,1 TB,16 GB,DDR5,14650HX,NVIDIA GeForce RTX 4060,,SSD,Windows 11 Home,,"1 x USB Type-C 5Gbps signaling rate (USB Power Delivery , DisplayPort1.4, HP Sleep and Charge), 1 x USB Type-A 5Gbps signaling rate (HP Sleep and Charge), 2 x USB Type-A 5Gbps signaling rate",No,40.89 cm (16.1 inch),1920 x 1080 Pixel,"Full HD,144 Hz, IPS, micro-edge, anti-glare, Brightness: 300 nits, Color Gamut: 62.5%SRGB",Yes,Yes,,Intel Wi-Fi 6E AX211 (2x2),v5.3,369 x 239.4 x 23.9 mm,2.32 Kg,Not Available,HP True Vision 1080p FHD IR camera with temporal noise reduction,"Full-size, 1 Zone RGB shadow black keyboard , 26 key roll over anti ghosting key technology",,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical damage,,6 cell,Max Frequency up to 5.2GHz,1 x HDMI 2.1,14th Gen,,,,,,,,,,,,,,,,,,,,,GDDR6,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,253.0,4,"₹1,29,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fq5330TU|15-fd0111TU,9D3P0PA#ACJ|A47CYPA,15s-fq5330TU,,Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1235U,Intel Integrated Iris Xe,,SSD,Windows 11 Home,,"1 x USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5Gbps signaling rate;",No,39.62 cm (15.6 inch),1920 X 1080 Pixel,"Full HD, micro-edge, anti-glare, 250 nits, 45% NTSC",Yes,Yes,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.0,358.5 x 242 x 17.9 mm,1.69 Kg,Not Available,HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"Full-size, backlit, natural silver keyboard with numeric keypad",,,,,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,,,Max Frequency Up to 4.4 GHz,1 x HDMI 1.4b,12th Gen,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,4.2,"₹50,490"
0,"Laptop, Power Adapter, User Guide, Warranty Documents",14-dv2014TU,6K9C3PA#ACJ,14-dv2014TU,Pavilion,Natural Silver,Thin and Light Laptop,"Entertainment, Performance",,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1235U,Intel Integrated UHD Graphics,10,SSD,Windows 11 Home,Yes,"1x SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2x SuperSpeed USB Type-A 5Gbps signaling rate",No,35.56 cm (14 inch),1920 x 1080 Pixels,"FHD, IPS, micro-edge, BrightView (Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTSC)",Dual speakers,Integrated dual array digital Microphone,Audio by B&O,MediaTek Wi-Fi 6 MT7921 (2x2),v5.2,325 x 216 x 17.0 mm,1.41 Kg,Not Available,HP Wide Vision 720p HD camera with temporal noise reduction,"Full-size, backlit, Natural Silver keyboard",Yes,HP Imagepad with multi-touch gesture support,"Microsoft Office Home & Student 2021, HP Documentation, HP BIOS recovery, HP Smart","43 Wh Li-ion, Support battery fast charge",1 Year Onsite Warranty,"Contact : Ph : 18002587170, 18602583079, WhatsApp Helpline - +17864826615 / Mail : Self Service warranty lookup - support.hp.com/us-en/checkwarranty",Manufacturing Defects,Physical Damage,1 Year,3,Upto 4.4 GHz,1x HDMI 2.1,12th Gen,,3200 MHz,12,64 bit,Windows 11 Home,64,,,,,,Yes,,,,,,,,,,,PCIe NVMe,,,,,,,,,,,,,,,,,,,,,,,,255.0,4.3,"₹56,990"
0,"Laptop, Warranty Card, Certificate of Conformity, Instruction manual, Silicon Thermal Pad",23-HD55D16512A-G-IND/ 23-HE55D16512A-G-IND,A10205400004,EVOL,Evol P15,Steel Grey,Gaming Laptop,Gaming,Upto 3 Hours,,No,Intel,Core i5,Yes,512 GB,16 GB,DDR5,12500H,NVIDIA GeForce RTX 4050,,SSD,Windows 11 Home,,"1 x USB 3.2 Gen1,1 x USB 3.2 Gen2, 1 x USB 3.2 Gen2 Type C ,1 x USB 2.0",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD LCD Display,High Deginition Speaker,Monaural microphone,,Wireless 802.11 a/b/g,v5.3,360 X 249 X 25.9 mm,2.4 Kg,Not Available,1.0 Megapixel,Illuminated Keyboard,,,,,2 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,Max turbo frequency at 4.50 Ghz,1 x HDMI Port,12th Gen,Upto 64 GB,,,,,,,,,,,,,,,,,,,,GDDR6,6 GB,,,,,,,,,,,,,,,,,,,,,,,,,256.0,4.5,"₹59,990"
0,"Laptop,Battery,Power Adapter, User Guide",Thin 15 B13VE-1800IN,9S7-16R831-1800,Thin 15 B13VE-1800IN,Thin 15,Cosmos Gray,Gaming Laptop,Gaming,,,No,Intel,Core i7,Yes,1 TB,16 GB,DDR4,13620H,NVIDIA GeForce RTX 4050,,SSD,Windows 11 Home,,"1 x Type-C (USB3.2 Gen1 / DP), 3 x Type-A USB3.2 Gen1",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 144Hz 45%NTSC IPS-Level",Yes,Yes,,802.11 ax Wi-Fi 6E,v5.3,359 x 254 x 21.7 mm,1.86 Kg,Not Available,HD type (30fps@720p),Blue Backlit Gaming Keyboard,,,,,2 Year Onsite Warranty,Onsite,Manufacturing Defects,"Physical Damage, Burn, Liquid Spill",,,1.8 GHz upto Max turbo frequency at 4.90 Ghz,1x HDMI (4K @ 30Hz),13th Gen,,,,,,,,,144 Hz,,,,,,,,,No,,,GDDR6,6 GB,,,,,,,,,,,,,,,,,,,,,,,,,257.0,3.8,"₹89,790"
